id,sentence_text,kote_pos,kote_neg,kote_neutral,raw_model_label,applied_rule,corrected_label,override_score,is_last,total_sentences,model_label_at_capture
477,보완필요점이 없습니다,0.3246,0.2859,0.3895,neutral,neutral_dominant,neutral,0.0,True,1,neutral
478,최신 지식·정보를 꾸준히 학습,0.431,0.0249,0.5441,neutral,neutral_dominant,neutral,0.0,True,1,neutral
476,(업무실행력)업무 시스템을 개선하기 위해 노력,0.1555,0.1246,0.7198,neutral,neutral_dominant,neutral,0.0,True,3,neutral
475,(혁신주도)혁신적 아이디어 제시,0.4049,0.0451,0.5499,neutral,neutral_dominant,neutral,0.0,False,3,neutral
474,(전문성)최신 지식정보를 꾸준히 학습,0.3586,0.0236,0.6178,neutral,neutral_dominant,neutral,0.0,False,3,neutral
472,업무외의 자기개발에 관심이 많음,0.2531,0.2427,0.5042,neutral,neutral_dominant,neutral,0.0,True,1,neutral
473,목표를 위한 구체적 전략 제시,0.2307,0.1319,0.6374,neutral,neutral_dominant,neutral,0.0,True,1,neutral
471,하위직원 존중,0.257,0.7278,0.0152,negative,rule4_default,negative,-0.4708,True,2,negative
470,업무 열의도,0.1532,0.8117,0.0351,negative,rule4_default,negative,-0.6585,False,2,negative
469,수평적 의사소통 능력으로 부서원과 소통함,0.4212,0.0305,0.5483,neutral,neutral_dominant,neutral,0.0,True,1,neutral
468,(혁신주도)목표를 위한 구체적 전략 제시,0.2951,0.1066,0.5983,neutral,neutral_dominant,neutral,0.0,False,2,neutral
467,크게 장점은 잘 모르겠습니다,0.0964,0.7768,0.1268,negative,rule4_default,negative,-0.6804,True,1,negative
466,업무지시 명확함,0.3237,0.5284,0.1479,negative,rule4_default,negative,-0.2047,True,1,negative
465,구성원들의 자발적 참여를 유도함,0.2924,0.0544,0.6532,neutral,neutral_dominant,neutral,0.0,True,1,neutral
463,부드러운 리더십으로 부서원의 참여를 유도함,0.4752,0.0342,0.4906,neutral,neutral_dominant,neutral,0.0,True,1,neutral
464,성과 극대화 및 조직목표 달성을 위해 신속한 의사결정을 함,0.4278,0.0626,0.5096,neutral,neutral_dominant,neutral,0.0,True,1,neutral
462,복잡한 문제를 체계적으로 세분화하여 인과관계를 파악하고 현상과 자료를 조직화,0.4458,0.0426,0.5116,neutral,neutral_dominant,neutral,0.0,True,1,neutral
460,동료의 의견을 경청하며 의사를 결정함,0.3441,0.0967,0.5591,neutral,neutral_dominant,neutral,0.0,True,1,neutral
461,수평적 업무지시로 조직을 통솔함,0.4339,0.1102,0.4559,neutral,neutral_dominant,neutral,0.0,False,2,neutral
459,우선순위를 정하여 해결책 제시,0.3686,0.3766,0.2548,negative,rule3_last_low,negative,-0.7452,True,1,negative
457,통신 분야의 전문적인 지식,0.3567,0.0589,0.5844,neutral,neutral_dominant,neutral,0.0,True,1,neutral
458,필요한 외부 네트워크 형성,0.276,0.0665,0.6575,neutral,neutral_dominant,neutral,0.0,True,1,neutral
456,특별한 장점을 알지 못합니다,0.1974,0.6188,0.1837,negative,rule4_default,negative,-0.4214,True,1,negative
455,성과 기여 업무 열의 전문성 협업 윤리의식,0.5188,0.3891,0.0922,positive,rule3_last_low,negative,-0.9079,True,1,negative
454,"정보 수집, 고객지향, 청렴성",0.3728,0.2784,0.3488,positive,rule3_last_low,negative,-0.6512,True,1,negative
453,"리더십, 업무전문성, 창의력",0.5096,0.3169,0.1736,positive,rule3_last_low,negative,-0.8265,True,1,negative
452,"조직구성원 소통 노력, 현장 안전중시",0.4268,0.3136,0.2596,positive,rule3_last_low,negative,-0.7404,True,1,negative
451,조직이 추가하는 업무방햐을 이해하고 있습니다,0.3991,0.0659,0.535,neutral,neutral_dominant,neutral,0.0,True,3,neutral
449,구성원과의 소통을 강화합니다,0.4531,0.0337,0.5132,neutral,neutral_dominant,neutral,0.0,True,1,neutral
450,"조직비전을 달성하기 위하여 목표를 위한 구체적 전략을 제시하고, 구성원들의 자발적 참여를 유도합니다",0.4233,0.0227,0.5539,neutral,neutral_dominant,neutral,0.0,True,1,neutral
