no,칸,문장,판정(positive/negative/neutral),메모
1,장점,부드러운 의사소통으로 팀 내 분위기를 형성합니다,,
2,단점,의사결정에 있어서 주관적이고 편파적일 때가 있슴,,
3,장점,"적극적으로 경청하시며, 전문성을 통한 통찰력을 발휘하십니다",,
4,장점,전문적인 업무지식과 열정으로 업무 수행,,
5,장점,타 부서와 소통을 통하여 접근하려는 자세가 좋음 동료들과 대화 등 소통을 많이 하심,,
6,장점,적절한 상호작용 부하 중심의 커뮤니케이션,,
7,단점,민원 응대 시 불만율 감소를 위해 전문성 제고 노력 필요,,
8,단점,핵심성과를 잘 활용하여 부가가치를 얻을 수 있도록 집중,,
9,단점,맡은 업무에 대한 전문성 부족,,
10,장점,조직원들과 소통이 가능하며 친절함,,
11,단점,보완피요점은 없습니다,,
12,단점,필요한 외부 네트워크 형성 유관기관 관계자,,
13,장점,근면성실하고 책임감이 투철합니다,,
14,장점,"남다른 포용력과 세심한 관찰력, 업무에 대한 지식을 바탕으로 사업처를 잘 이끌고 계십니다",,
15,장점,적극적인 업무처리 및 민원대응 능력 탁월,,
16,단점,별도 보완할 사항이 없습니다,,
17,장점,부드러운 리드십으로 동료간 협업,,
18,단점,성실수행으로보완필요점이없슴,,
19,장점,맡은 업무를 책임감있게 수행하며 꼼꼼함,,
20,장점,"탁월한 업무능력, 조직원들의 존경을 받는 뛰어난 리더쉽, 업무환경을 파악하고 공정하고 합리적인 판단력, 끊이 없이 자기개발에 노력하는 성실성을 가진 한전에 꼭 필요한 인재임",,
21,단점,보안 필요점을 찾아보기 힘듬,,
22,단점,앞으로 회사에서 발전하기 위한 자기개발 역량,,
23,장점,뛰어난 리더쉽으로 조직을 원활하게 이끌어감,,
24,단점,다른 사람과의 소통 부족,,
25,장점,"수평적 의사소통, 구성원들의 자발적 의지 존중",,
26,장점,시키는 일만 열심히 하는 성향이나 발전가능성 큼,,
27,장점,특이사항을 찾을 수 없었음,,
28,장점,고객과 원할한 업무진행을 유도하여 도움을 주심,,
29,장점,현장 관리가 뛰어나시며 직원들이 어려움에 처할 때 노하우를 잘 알려주십니다,,
30,단점,팀원들과의 소통의 시간이 부족하다,,
31,단점,정확한 업무 지시 필요,,
32,장점,업무 관련 최신 지식 및 정보를 꾸준히 학습하고 있으며 다양한 문제 해결 방법을 구사하는 능력이 있음,,
33,단점,부드럽지만 강한 리더십ㅍ,,
34,단점,호기심이 많으며 매사 열정적으로 업무에 임함,,
35,단점,미래를 위해자기게발이필요,,
36,단점,업무에대한 이해도가 약간 느린것 같음,,
37,장점,"책임감있는 업무자세, 타인과의 관계좋음",,
38,장점,맡은 업무에 대한 노력으로 업무 능숙함,,
39,장점,정해진 시간안에 맡은일을 수행하고자 함,,
40,장점,대인관계능력이 좋습니다,,
41,단점,부서원들간의 소통이 필요함,,
42,장점,뭐하는지 모르게 혼자 일함,,
43,장점,신속한 의사결정에 능하심,,
44,장점,선임자로서 후임들에게 모범을 보여줌,,
45,장점,"가능한 자원을 최대 동원, 부드러운 리더십",,
46,장점,지중업무 사업관리를 열심히 함,,
