no,칸,문장,판정(positive/negative/neutral),메모
1,장점,부서내 문제점을 탁월히 해결하며 리더십으로 구성원들을 잘 이끌어 주십니다,,
2,장점,특허 업무에 대한 이해와 습득이 매우 빠름,,
3,장점,구성원과의 화합을 통하여 원활하게 업무를 수행함,,
4,장점,업무에 적극적이고 성실하다,,
5,단점,"업무관련 전문지식을 조금 더 쌓을 필요가 있으며, 조금 더 넓은 시야를 가질 필요가 있음",,
6,장점,재난업무 매뉴얼 업그레이등 책임을 다함,,
7,단점,그 동안 고생 많으셨습니다,,
8,단점,별다른 보완점 없음,,
9,장점,일과 협업 성실히 수행,,
10,장점,"작년, 재작년보다 조금 나아졌습니다",,
11,단점,주는 것보다 더 많이 받으려 한다,,
12,장점,해당 분야의 지식이 방대함,,
13,단점,모든 활동이 꼼꼼하다,,
14,장점,"솔선수범, 책임감, 대인관계, 기본 에티켓이 몸에 베여 있음",,
15,장점,"직원들과 직급, 나이 차이에도 불구하고 권위적이지 않는 리드쉽으로 부를 잘 이끌어 감",,
16,단점,너무 착해서 문제임,,
17,장점,목표달성을 위해 이해관계자와 협력하고 최고의 성과도출,,
18,장점,사업소장으로써 책임감과 리더쉽으로 각부서 진두지휘를 잘해주십니다,,
19,장점,"처음 하는 업무임에도 역량 향상 속도가 매우 우수하며, 업무에 열의가 있어 어려운 문제 속에서도 굴하지 않고 문제를 해결하고자 하는 의지가 뛰어남",,
20,장점,업무처리 능력이 탁월하며 솔선수범하는 자세로 어려움을 극복하려고 합니다,,
21,장점,열정과 전문지식으로 능숙한 업무처리,,
22,장점,맡은 일에 열정적임,,
23,장점,상하 직원간 원활한 교류 및 업무관련 수집능력 탁월,,
24,단점,보완필요점 없습니다,,
25,장점,본인의 분야에서 경험과 업무지식을 바탕으로 선후배에게 업무에 대한 업무지식을 전파하며 선후배들에 대한 애정이 많음,,
26,장점,상대방을 이해하며 민원인과의 소통이 원활함,,
27,단점,"업무추진함에 있어 담당업무 구분을 명확히 하여, 협업이 다소 어려운 점이 있음",,
28,장점,의사소통이 뛰어나고 업무에 대한 이해가 높습니다,,
29,단점,특별히 보완해야 할 특이점 없음,,
30,장점,대인관계가 좋고 협업능력과 상황판단 능력이 뛰어남,,
31,장점,"업무 열의 , 업무 진지한 태도",,
32,장점,풍부한 현장 경험을 바탕으로 업무 성과를 달성하기 위해 몰입한다,,
33,단점,친절하십니다,,
34,장점,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,,
35,장점,"긍정적 마인드, 도전의식과 솔선수범으로 최고의 성과를 도출합니다",,
36,단점,보완필요점은 없습니다,,
37,단점,비전과 정책을 명확히 제시,,
38,단점,항상 열정적인 자세로 업무에 임하시다 보니 건강이 걱정될 때가 있습니다,,
39,장점,매사에 모든 일에 솔선수범으로써 먼저 행동을 보여 후임들로부터 모범을 보이는 책임감이 있습니다,,
40,장점,조직생활에 매우 적극적임,,
41,단점,특별히 보완할 사항을 찾지 못함,,
42,단점,기본을 상당히 중요시 하지만 너무 세세한 터치는 부작용을 불러올 수도 있다,,
43,장점,토목분야의 전문지식이 뛰어남,,
44,단점,의사소통부재 불만이 많음,,
45,단점,선후배들과 원만한 관계유지함,,
46,장점,공동의 목표 달성을 위해 협력,,
47,단점,건강을 위해 운동을 하셨으면 좋겠습니다,,
48,장점,업무에 대한 열의로 항상 모범이 됩니다,,
49,단점,명확한 의사전달이 부족합니다,,
50,장점,"매사 업무 추진에 공정하고 합리적이시고, 미래지향적으로 업무에 임하시고 있음",,
51,단점,업무에 대한 능력은 우수하나 주변과 융화력이 부족함,,
52,장점,핵심 내용을 정확히 파악 / 간결하고 정확하게 문서 작성,,
53,단점,관련 직무교육에 적극적으로 참여하여 업무능력 향상 필요,,
54,장점,탁월한 리더쉽으로 사업소 운영을 잘함,,
55,장점,동료와의 협업에도 뛰어남,,
56,장점,업무적 열의가 높음,,
57,장점,전반적인 업무지식과 풍부한 경험으로 업무를 수행합니다,,
58,단점,건강에 유의하시기 바랍니다,,
59,장점,상하 소통과 배려를 통한 협업 분위기 조성에 뛰어남,,
60,장점,리더십으로 문제해결에 앞장선다,,
61,장점,부하직원에 대한 배려가 큼,,
62,단점,보완필요점이 없습니다,,
63,단점,보완사항이 없습니다,,
64,장점,"업무에 대한 열의, 적극성, 능동적",,
65,단점,적극적인 업무처리와 열의,,
66,단점,조직이 추구하는 방향성에 대한 인식,,
67,장점,현장경험이 풍부하고 폭넓은 지식으로 많은 노하우를 통해 적극적으로 업무수행함,,
68,단점,여러사람과 소통이 필요함,,
69,장점,다양한 정보로 신속한 업무 처리,,
70,단점,자기 일 아니면 너무 떠넘기려고 함,,
71,단점,지금도 잘하고 계셔서 보완필요점이 없다,,
72,단점,타 부서와의 업무에 비협조적인 태도,,
73,장점,업무에 책임감있으며 적극적임,,
74,단점,타 부서원과의 소통이 필요함,,
75,단점,리더쉽이 뛰어나 카리스마가 있습니다,,
76,단점,업무수행시 적극적인 자세가 필요함,,
77,장점,주어진 업무를 성실하게 수행함,,
78,단점,보완점을 찾을 수 없습니다,,
79,장점,조직구성원을 배려하고 자발적 참여 유도 및 수평적 의사소통,,
80,단점,특별히 보완 사항 없음,,
81,단점,업무 무관심 및 열의 미흡,,
82,장점,수평적 의사소통과 업무문제해결에 앞장,,
83,장점,풍부한 경험을 바탕으로 한 업무전문성,,
84,단점,업무에 대한 열정이 높음,,
85,장점,수평적 의사소통으로 문제해결에 앞장섬,,
86,장점,조직의 발전을 위하여 본인이 가진 열정과 지식을 활용하여 업무에 적용하고 있음,,
87,단점,특별이 보완필료성이 없읍니다,,
88,단점,을 인식 하시길,,
89,단점,자신의 업무에 최고의 실력을 위해 노력함,,
90,장점,솔선수범으로 어려움 극복,,
91,단점,보완필요점으 찾을수 없음,,
92,장점,업무에 대한 열의와 전문성이 높음,,
93,단점,특별한 보완 필요점 없음,,
94,장점,적극적으로 업무 처리를 함,,
95,단점,업무열의 다소 부족,,
96,단점,보완 필요점은 없음,,
97,단점,보완할 점이 특별하게 없음,,
98,장점,업무에 성실합니다,,
99,장점,수평적 의사소통과 부드러운 리더십으로 문제해결에 앞장서며 구성원들의 자발적 참여를 유도함,,
100,장점,솔선수범하고 도전의식으로 목표 달성,,
101,단점,보완 필요점 없습니다,,
102,장점,솔선수범으로 어려움 극복하고 목표달성,,
103,장점,직원들과의 소통을 잘하고 있으며 업무능력이 뛰어남,,
104,장점,본인의 일이 아닌것을 물어보면 친절하게 설명해줌,,
105,장점,전문적인 역량 우수 및 업무 관심도 높음,,
106,단점,부서원에 업무를 미룸,,
107,장점,"업무에 대한 열정, 이해심이 뛰어나고, 직무에 대한 책임감과 전문성을 두루 갖추고 있으며, 부서원들과 공동의 목표를 위해 협업하는 자세가 훌륭하며, 부서의 분위기 메이커임",,
108,장점,문제를 정확히 인지하고 합리적으로 판단하여 적극적으로 추진함,,
109,단점,업무에 대해 너무 꼼꼼함,,
110,장점,풍부한 현장 경험,,
111,장점,적극적인 업무자세와 협업능력을 갖춤,,
112,장점,관련분야 자격증 취득,,
113,장점,타 부서원들과 원활한 관계 유지,,
114,장점,업무 전문성을 갖추고 부서 및 동료간 협업능력이 뛰어남,,
115,장점,업무지식 및 노하우 함양,,
116,단점,단점이라 할 만한 것이 없음,,
117,단점,타 부서장들과의 관계가 다소 서먹서먹함,,
118,단점,민원이나 중요한 일이 발생했을 때 책임지고 해결하려는 자세가 부족함,,
119,단점,보완필요점 없습니다,,
120,단점,신규 업무 관련 고객 민원이 발생할 시 조언을 구하기는 다소 어려움,,
121,단점,- 업무분장사의 직무를 타 직원에게 넘기며 업무속도가 느림,,
122,장점,본인의 업무를 열심히 수행함,,
123,단점,보완 필요점 없음,,
124,장점,"끈기와 집념으로 목표 달성, 적극적인 마인드",,
125,장점,업무열의 및 민원응대 적극,,
126,단점,타부서를 아우르는 협업,,
127,단점,보완필요성 없어요,,
128,단점,성과창출 및 진취적인 업무성향,,
129,단점,보완점 없습니다,,
130,장점,전문적인 업무지식으로 업무함,,
131,단점,보완필요점이 없습니다,,
132,단점,창의적인 도전이 부족하며 현실에 안주하려는 모습이 보임,,
133,단점,특별히 보완필요점 없음,,
134,단점,일이 바쁘셔서 체력을 조금 더 키우시는게 좋을거 같습니다,,
135,단점,책임감을가지고 업무를 수행함,,
136,단점,"본연의 업무에 충실하며, 항상 진취적인 태도를 보임",,
137,단점,다른 부서 직원들과 의사소통이 조금 부족함,,
138,단점,회사전반에 대한 감각 미약,,
139,단점,특별한 보완 필요점이 없음,,
140,장점,업무 추진에 적극적이며 전문성을 보유,,
141,장점,전문지식과 혁신실행력을 갖추고 열린 마음으로 고객을 응대합니다,,
142,단점,맡은바 업무에 보완할 점은 없다,,
143,장점,상황에 따라 원활히 대처 함,,
144,단점,보완필요점이 없습니다,,
145,장점,직원간 원활한 교류와 맡은 업무에 최선을 다함,,
146,장점,주어진 업무를 성실하게 수행함,,
147,단점,열심히 하시는 모습이 보였습니다,,
148,장점,수평적 의사소통과 부드러운 리더십으로 문제해결하며 구성원들의 자발적 참여유도함,,
149,단점,개인적인 의견이 거의 없으심,,
150,단점,운영실장으로서 운영업무에 노력이 필요함,,
151,단점,잘 모르겠음,,
152,장점,수평적 의사소통과 부드러운 리더십,,
153,장점,"공가설비에 대한 현장조사를 성실히 수행하고 있으며, 부서내 팀원들간의 화합을 주도하고 있습니다",,
154,장점,높은 윤리의식 보유 / 청렴결백함,,
155,장점,부드러운 리더십으로 문제해결에 앞장,,
156,장점,부서내 안전담당이라는 막중한 업무를 원활히 수행하며 항상 솔선수범하는 모습을 보여줌,,
157,단점,"하는 일 없이 시간 떼우는 모습이 너무 보이며, 업무에 대한 열의도 없습니다",,
158,단점,보완필요점은 없다,,
159,장점,솔선수범하고 전략적임,,
160,단점,너무 사소한 일까지 진행하려고 합니다,,
161,단점,업무에 대한 능력향상에 노력을 기울일 필요가 있음,,
162,장점,"책임감, 깔끔한 업무처리, 똑부러짐",,
163,장점,전문적이고 체계적인 업무역량과 노하우를 바탕으로 업무성과가 뛰어남,,
164,장점,업무처리 우선순위 결정이 빠르며 솔선 수범하는 자세 및 공정하게 업무 수행함,,
165,장점,책임감있는 업무처리가 장점입니다,,
166,단점,보완할 점은 크게 없으십니다,,
167,장점,다양한 자료를 분석하는 능력이 탁월하며 업무량이 많은 동료 직원들의 업무를 솔선 도맡아 도와주는 따뜻한 마음의 소유자입니다,,
168,단점,소프트웨어 활용능력,,
169,단점,보완필요점 없습니다,,
170,단점,엄무에 너무 집중적임,,
171,단점,보완의 필요가 없슴,,
172,단점,내공을 축적해서 본부에 더욱 기여하시길 바랍니다,,
173,장점,스마트한 업무능력과 리더십,,
174,장점,회사에 대한 무한책임과 주인의식으로 성과창출 능력이 탁월합니다,,
175,장점,온화한 인품으로 직원과 센터간 문제 발생 시 적극적으로 직원의 입장이 관철되도록 도움주심,,
176,단점,특별히 보완할 점이 없음,,
177,장점,"빅데이터, 정보분석 능력 탁월함",,
178,단점,경영 목표를 명확하게 전달하고 각인,,
179,장점,윤리의식이 투철하신 것 같습니다,,
180,단점,보완 필요점은 없습니다,,
181,장점,"적극적인 마인드, 업무 능숙함",,
182,장점,부서 전체를 아우르는 경영자적 마인드로 부드러운 카리스마를 겸비하시고 모든 일에 솔선수범하심,,
183,단점,특별하게 없습니다,,
184,장점,업무에 관하여 열의를 가지고 최선을 다합니다,,
185,장점,매끄러운 민원업무 처리,,
186,장점,업무능력이 뛰어나며 동료들과 잘 지냅니다,,
187,단점,업무열의가 높고 윤리의식,,
188,장점,"부드러운 리더십, 수평적 업무지시",,
189,장점,본인의 맡은업무에 최선을 다함,,
190,장점,"안전문화 형성에 관심이 많으며, 항상 토론과 대화로 문제해결하려고 노력함",,
191,단점,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,,
192,단점,보완할 점 없습니다,,
193,장점,조직목표를 이해하고있고 협업능력이 뛰어납니다,,
194,장점,사내 다독왕 수상 예정,,
195,장점,솔선수범 책임감 강함,,
196,단점,창의적 아이디어가 아쉬움,,
197,단점,"수직적, 경직적인 문화조성",,
198,단점,자신의 업무를 타인에게 넘기려함,,
199,장점,업무 의사소통이 탁월 구성원들의 자발적 참여유도 적극적임,,
200,장점,구성원들이 자발적 참여를 이끌어 냅니다,,
201,장점,인사성이 바르고 예의가 있음,,
202,단점,보완필요점이 없습니다,,
203,장점,사실에 기반하여 객관적인 판단을 내리고 조직의 미래를 결정하는데 기여함,,
204,장점,동료들과 좋은 관계를 유지합니다,,
205,장점,전력 분양에 대한 전문적 지식을 바탕으로 우수한 성과가 창출될 수 있도록 노력하고 적극적으로 문제 해결에 참여해 주위 동료들에게 리더로서 모범을 보임,,
206,단점,보완이 필요한 사항 없음,,
207,장점,직원들과 소통충분함,,
208,장점,선후배들과 잘 어울리며 수평적 사고를 가지고있음,,
209,장점,매사에 무난함,,
210,장점,매사 긍정적이며 적극적임,,
211,단점,특별히 보완해야할 점 없음,,
212,장점,뛰어난 협업능력으로 동료직원들에게 많은 도움이 됨,,
213,단점,@@@@@@@@@@@@@@@@@,,
214,단점,일을 너무 열심히 하는게 단점,,
215,장점,"장기적 관점에서 생각하며, 조직성과 창출을 위해 거시적 안목과 환경대응력이 뛰어남",,
216,단점,보완필요한점 모르겠음,,
217,단점,딱히 보완필요점이 없다,,
218,장점,맡은바 최선을 다하여 타의 모범이 됨,,
219,장점,열정적이고 업무 역량이 뛰어남,,
220,단점,다년간 업무 수행으로 다져진 업무 노하우를 후배들에게 공유 필요,,
221,단점,업무상 취득한 정보를 유의하여 다룰 필요가 있다,,
222,장점,깊은 배려심으로 구성원들에게 좋은 영향력을 줌,,
223,단점,보완 필요사항 없음,,
224,단점,타 부서원과의 소통이 부족함,,
225,단점,"업무에 대한 열의로 다양한 업무 추진, 불필요한일 버리기 등으로 경감 필요",,
226,장점,전문들과의 네트워크 형성 업무 향상,,
227,장점,업무능력이 일취월장하여 우수한 성과 도출,,
228,장점,현업에 문제가 생겼을때 원인을 잘 분석하여 해결방안을 효율적으로 찾습니다,,
229,장점,적극적인 마인드로 업무추진,,
230,단점,보완필요점 없습니다,,
231,장점,업무에 최선을 다합니다,,
232,단점,전문성을 더 갖추려고 노력해야 됩니다,,
233,장점,"특정업무에 대해서만 현장 경험 풍부, 노하우 보유",,
234,단점,근태가 매우 좋지 않으며 잦은 결근으로 인해 업무에 차질을 빚고 다른 팀원들에게 피해를 줌,,
235,장점,뛰어난 업무열의로 주변에 모범이됨,,
236,장점,다년간의 업무 노하우를 통하여 적재적소에 효율적을 업무함,,
237,단점,보완이 필요한 부분이 없음,,
238,단점,배려가 부족함,,
239,장점,업무전문성과 부드러운 카리스마 보유,,
240,단점,수평적 의사소통과 부드러운 리더십,,
241,단점,자주 못봐서 아쉬움,,
242,장점,업무 지식에 대한 이해도 높음,,
243,장점,솔선수범 업무처리 꼼꼼함 열정이 있음,,
244,단점,업무 누락 실수를 보완하면 장점이 될 듯,,
